Species	Status	min_age	max_age
Teratosaurus schuetzii	extinct	237	246.7
Aetosaurus ferratus	extinct	211.18	215.38
Procompsognathus triassicus	extinct	211.18	215.38
Nicrosaurus meyeri	extinct	211.18	215.38
Saltoposuchus connectens	extinct	211.18	215.38
Saltoposuchus longipes	extinct	211.18	215.38
Provelosaurus americanus	extinct	259.51	266.9
Tanytrachelos ahynis	extinct	205.7	227.3
Poposaurus gracilis	extinct	227.3	237
Colobops noviportensis	extinct	205.7	227.3
Labidosaurikos meachami	extinct	274.4	283.3
Captorhinikos valensis	extinct	274.4	283.3
Captorhinikos valensis	extinct	274.4	283.3
Milleretta rubidgei	extinct	251.902	254.14
Millerinoides acutirostris	extinct	251.902	259.51
Parasuchus bransoni	extinct	205.7	237
Trilophosaurus buettneri	extinct	205.7	237
Crosbysaurus harrisae	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Machaeroprosopus buceros	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Stagonolepis olenkae	extinct	205.7	237
Chirotherium swinnertoni	extinct	241.464	246.7
Austriadraco dallavecchiai	extinct	205.7	211.18
Eudimorphodon rosenfeldi	extinct	211.18	215.38
Preondactylus buffarinii	extinct	205.7	215.38
Langobardisaurus tonelloi	extinct	205.7	215.38
Brachychirotherium thuringiacum	extinct	201.4	227.3
Eubrontes sillimani	extinct	201.4	227.3
Grallator cursorius	extinct	201.4	227.3
Evazoum sirigui	extinct	205.7	227.3
Brachychirotherium eyermani	extinct	205.7	227.3
Grallator cursorius	extinct	205.7	227.3
Fraserosphenodon latidens	extinct	227.3	237
Typothorax coccinarum	extinct	205.7	227.3
Redondasaurus gregorii	extinct	205.7	227.3
Redondasaurus gregorii	extinct	205.7	227.3
Redondasuchus reseri	extinct	205.7	227.3
Barrancapus cresapi	extinct	215.38	227.3
Evazoum sirigui	extinct	205.7	227.3
Grallator cursorius	extinct	205.7	227.3
Grallator cursorius	extinct	205.7	227.3
Evazoum sirigui	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Machaeroprosopus buceros	extinct	205.7	227.3
Machaeroprosopus buceros	extinct	205.7	227.3
Typothorax coccinarum	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Typothorax coccinarum	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Typothorax coccinarum	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Typothorax coccinarum	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Typothorax coccinarum	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Typothorax coccinarum	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Machaeroprosopus buceros	extinct	201.4	205.7
Typothorax coccinarum	extinct	205.7	227.3
Machaeroprosopus buceros	extinct	205.7	227.3
Machaeroprosopus buceros	extinct	205.7	227.3
Eubrontes sillimani	extinct	205.7	227.3
Grallator cursorius	extinct	205.7	227.3
Evazoum sirigui	extinct	205.7	227.3
Tikoepentapodiscus fabri	extinct	246.7	251.902
Senqutrisauropus priscus	extinct	205.7	237
Bosiutrisauropus phuthiatsani	extinct	205.7	227.3
Grallator rectilineus	extinct	205.7	227.3
Pseudotetrasauropus bipedoida	extinct	205.7	227.3
Pseudotetrasauropus jaquesi	extinct	205.7	227.3
Sauropodopus antiquus	extinct	201.4	227.3
Mafatrisauropus errans	extinct	201.4	227.3
Grallator tuberosus	extinct	205.7	227.3
Rhynchosauroides hyperbates	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Grallator cursorius	extinct	205.7	227.3
