occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,within_range,Status
1432603,occ,,IF,199856,Isochirotherium coureli,species,331053,Anisian,,246.7,241.464,67963,YES,extinct
1432605,occ,,IF,199858,Chirotherium barthii,species,85727,Anisian,,246.7,241.464,67964,YES,extinct
1432606,occ,,IF,199858,Isochirotherium coureli,species,331053,Anisian,,246.7,241.464,67964,YES,extinct
1433056,occ,,IF,199903,Chirotherium barthii,species,85727,Anisian,,246.7,241.464,67964,YES,extinct
1433064,occ,,IF,199908,Isochirotherium coureli,species,331053,Anisian,,246.7,241.464,67964,YES,extinct
1433073,occ,,IF,62182,Brachychirotherium circaparvum,species,331055,Anisian,Ladinian,246.7,237,67979,YES,extinct
1433074,occ,,IF,62182,Rotodactylus lucasi,species,82510,Anisian,Ladinian,246.7,237,67979,YES,extinct
1433075,occ,,,62182,Rotodactylus velox,species,82515,Anisian,Ladinian,246.7,237,67979,YES,extinct
1433076,occ,,IF,62182,Chirotherium ferox,species,92023,Anisian,Ladinian,246.7,237,67979,YES,extinct
1433078,occ,35501,IF,62183,Brachychirotherium pachydactylum,species,82508,Anisian,Ladinian,246.7,237,17957,YES,extinct
1433079,occ,35502,IF,199909,Brachychirotherium pachydactylum,species,82508,Anisian,Ladinian,246.7,237,17967,YES,extinct
1433081,occ,,IF,28462,Synaptichnium diabloensis,species,93709,Anisian,Ladinian,246.7,237,17967,YES,extinct
1433086,occ,,IF,199910,Chirotherium ferox,species,92023,Anisian,Ladinian,246.7,237,17967,YES,extinct
1433087,occ,,IF,199910,Rotodactylus rati,species,331050,Anisian,Ladinian,246.7,237,17967,YES,extinct
1433089,occ,35503,IF,199909,Rotodactylus lucasi,species,82510,Anisian,Ladinian,246.7,237,17967,YES,extinct
1433090,occ,,IF,199909,Anchisauripus bibractensis,species,92019,Anisian,Ladinian,246.7,237,17967,YES,extinct
1433091,occ,,I,68223,Coelurosaurichnus perriauxi,species,82507,Anisian,Ladinian,246.7,237,17967,YES,extinct
